sa2_code_2011,sa2_name,Meter count - 2010 (no.),Meter count - 2011 (no.),Meter count - 2012 (no.),Mean - 2010 (kWh),Mean - 2011 (kWh),Mean - 2012 (kWh),Lowest quintile - 2010 (kWh),Lowest quintile - 2011 (kWh),Lowest quintile - 2012 (kWh),Second quintile - 2010 (kWh),Second quintile - 2011 (kWh),Second quintile - 2012 (kWh),Third quintile - 2010 (kWh),Third quintile - 2011 (kWh),Third quintile - 2012 (kWh),Fourth quintile - 2010 (kWh),Fourth quintile - 2011 (kWh),Fourth quintile - 2012 (kWh),Highest quintile - 2010 (kWh),Highest quintile - 2011 (kWh),Highest quintile - 2012 (kWh),Median - 2010 (kWh),Median - 2011 (kWh),Median - 2012 (kWh),Predominant climate zone (d)
112031252,Murwillumbah Region,6,79,145,4627,5890,5072,,2038,1781,,4210,3436,,5509,4818,,6603,6177,,10850,9149,4193,5409,4855,2
112031253,Pottsville,4,126,233,6854,3978,3635,,1337,1275,,2516,2408,,3415,3261,,4687,4387,,7782,6786,4797,3365,3199,2
112031254,Tweed Heads,7,154,298,3063,4206,4247,,1519,1368,,2494,2591,,3590,3643,,5056,4825,,8285,8749,3240,3613,3619,2
112031255,Tweed Heads - South,11,375,632,4191,4423,4120,,1602,1506,,2762,2471,,3661,3418,,5275,4830,,8814,8346,3517,3652,3435,2
113011256,Griffith (NSW),,14,125,,5423,7488,,,2159,,,4023,,,6428,,,9061,,,15767,,4270,6490,4
113011257,Griffith Region,,13,78,,6032,8199,,,2590,,,4617,,,6740,,,9745,,,16858,,5049,6869,4
113011258,Leeton,,10,81,,6879,9883,,,2379,,,4870,,,6877,,,11058,,,23389,,6288,7023,4
113011259,Narrandera,,7,39,,5742,6747,,,2661,,,4308,,,5273,,,7257,,,13724,,6726,5302,4
113021260,Tumbarumba,,4,42,,5310,6035,,,1990,,,3886,,,5546,,,7308,,,10899,,5377,5738,7
113021261,Tumut,,8,86,,6995,7001,,,1805,,,4925,,,6390,,,8311,,,13209,,5168,6403,7
113021262,Tumut Region,,18,76,,6321,6537,,2439,2165,,4428,4134,,5203,5950,,7323,7838,,10961,12221,,5288,5931,7
113031263,Cootamundra,,14,85,,4638,5294,,,1413,,,2890,,,4742,,,6692,,,10734,,4527,4795,4
113031264,Gundagai,,7,51,,6592,6737,,,2613,,,4532,,,6387,,,8213,,,11465,,7776,6588,4
113031265,Junee,,11,57,,5291,6216,,,2063,,,3969,,,5215,,,6792,,,12554,,4824,5300,4
113031266,Temora,,10,41,,7058,7110,,,2239,,,3954,,,5555,,,7090,,,15642,,6363,5484,4
113031267,Wagga Wagga - East,,15,85,,6744,6679,,2681,2503,,3543,3640,,6116,5068,,8983,7537,,12396,14649,,6916,4875,4
113031268,Wagga Wagga - North,,4,13,,5302,5405,,,,,,,,,,,,,,,,,5196,4016,4
113031269,Wagga Wagga - South,,22,121,,4327,4585,,1496,1863,,2588,3031,,3727,3981,,4905,5444,,8120,8446,,3889,3962,4
113031270,Wagga Wagga - West,5,68,269,5539,6101,5892,,1838,1968,,3345,3595,,4894,5121,,6856,6807,,13181,11897,4962,4948,5021,4
113031271,Wagga Wagga Region,,26,140,,6984,6894,,2846,2398,,4289,4390,,6094,5998,,7574,7644,,12929,14037,,6233,5995,4
114011272,Berry - Kangaroo Valley,,5,28,,6631,7195,,,2253,,,4349,,,6235,,,9082,,,13073,,4420,6302,6
114011273,Callala Bay - Currarong,,7,15,,8668,5885,,,1853,,,3279,,,5251,,,7612,,,11431,,8485,5594,6
114011274,Culburra Beach,,4,8,,4558,6130,,,,,,,,,,,,,,,,,4693,5960,6
114011275,Ettrema - Sassafras - Budawang,,,,,,,,,,,,,,,,,,,,,,,,,6
114011276,Huskisson - Vincentia,,4,10,,3319,4827,,,,,,,,,,,,,,,,,3378,3373,6
114011277,North Nowra - Bomaderry,,17,44,,9205,6741,,4732,2697,,6004,4406,,8095,6465,,10109,8132,,15391,11556,,8482,6621,6
114011278,Nowra,,13,62,,6447,5620,,,1657,,,2748,,,4178,,,6451,,,12604,,4843,4293,6
114011279,St Georges Basin - Erowal Bay,,9,28,,8705,5932,,,2735,,,4049,,,4825,,,5851,,,11484,,6280,4905,6
114011280,Sussex Inlet - Berrara,,3,13,,5447,5366,,,,,,,,,,,,,,,,,5203,5756,6
114011281,Tomerong - Wandandian - Woollamia,,4,13,,7729,9084,,,,,,,,,,,,,,,,,7203,6401,6
114011282,Ulladulla,,21,41,,5262,5408,,1565,1699,,2581,2823,,4044,4448,,5684,6865,,11002,10561,,4618,4348,6
114011283,Ulladulla Region,,7,13,,5394,6175,,,,,,,,,,,,,,,,,5755,4830,6
114021284,Bowral,,5,34,,9088,7614,,,2607,,,4305,,,6620,,,8852,,,14970,,6986,6843,6
114021285,Hill Top - Colo Vale,,,23,,,7847,,,2545,,,4706,,,6609,,,9348,,,14720,,,6514,6
114021286,Mittagong,,,34,,,5404,,,1582,,,3180,,,4221,,,5517,,,11973,,,4255,6
114021287,Moss Vale - Berrima,,13,29,,6936,6935,,,1889,,,3592,,,5292,,,7725,,,15335,,6017,5818,6
114021288,Robertson - Fitzroy Falls,,4,10,,6604,10715,,,,,,,,,,,,,,,,,6234,6561,6
114021289,Southern Highlands,,14,42,,4717,6254,,,1390,,,3656,,,5680,,,7608,,,12258,,4033,5828,6
206011105,Brunswick,170,289,389,3028,3207,3439,1277,1196,1253,2052,2060,2206,2702,2855,2955,3557,3723,3912,5554,6164,6842,2720,2855,2953,6
206011106,Brunswick East,61,112,155,4077,3971,4116,1011,1147,1285,1997,2134,2396,3027,3175,3412,4719,4500,4703,9202,8720,8783,3110,3123,3483,6
206011107,Brunswick West,94,178,239,3090,3616,3890,995,1230,1525,2059,2227,2307,2806,3053,3101,3728,4133,4258,5753,7355,8210,2855,3097,3075,6
206011108,Coburg,365,453,680,3960,3242,3322,1294,1116,1083,2351,2006,2026,3392,2718,2828,4672,3771,3880,8090,6570,6792,3434,2684,2795,6
206011109,Pascoe Vale South,14,20,33,3934,2845,3396,,863,1100,,1724,2063,,2371,3057,,3313,4173,,5954,6209,3677,2411,3190,6
206021110,Alphington - Fairfield,85,139,186,4318,3723,3709,1662,1292,1468,2545,2352,2545,3445,3288,3324,4942,4139,4214,8998,7456,6909,3319,3378,3295,6
206021111,Northcote,261,462,608,3640,3665,3711,1161,1287,1358,2097,2204,2280,3068,3139,3164,4291,4301,4273,7510,7360,7454,3104,3127,3179,6
206021112,Thornbury,117,227,314,3640,3706,3668,1218,1354,1281,2280,2308,2148,3168,3120,3114,4188,4300,4217,7211,7380,7542,3225,3114,3131,6
206031113,Ascot Vale,94,142,199,4241,3698,3837,1318,1294,1293,2423,2383,2355,3657,3181,3172,4968,4131,4214,8686,7389,8090,3645,3161,3139,6
206031114,Essendon - Aberfeldie,270,380,543,5184,4440,4640,1721,1473,1562,3054,2523,2781,4313,3582,3985,6119,5290,5567,10713,9332,9268,4321,3558,3979,6
206031115,Flemington,80,100,132,3490,2903,2826,1177,893,1008,2175,1832,1795,3108,2744,2640,4251,3483,3432,6738,5561,5171,3041,2800,2674,6
206031116,Moonee Ponds,112,162,226,4495,3880,4137,1786,1444,1512,3010,2473,2502,4020,3400,3450,5416,4592,4736,8100,7397,8391,3969,3357,3401,6
206041117,Carlton,16,27,27,10058,5602,4848,1803,1262,1466,3745,2294,2141,6446,3474,3067,8270,5722,4636,25033,14004,11879,6872,3581,3298,6
206041118,Docklands,,,,,,,,,,,,,,,,,,,,,,,,,6
206041119,East Melbourne,5,6,11,8075,7643,7438,,,,,,,,,,,,,,,,9323,5919,5866,6
206041120,Flemington Racecourse,,,,,,,,,,,,,,,,,,,,,,,,,6
206041121,Kensington,32,43,67,4188,3026,3206,1511,1086,1138,2280,1775,2042,3777,2704,2871,5455,3825,4032,7442,5491,5777,3733,2954,2896,6
206041122,Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,6
206041123,North Melbourne,28,46,63,4671,5197,5241,1194,1240,1147,1979,2225,2051,2659,3267,3174,4399,4756,4767,12211,13569,14591,2614,3334,3105,6
206041124,Parkville,13,25,30,5474,5927,5255,,2311,1979,,3839,3531,,5206,4564,,6218,5570,,12060,10632,4878,4895,4503,6
206041125,South Yarra - West,11,17,18,6297,4988,5099,,864,884,,2522,2316,,3584,4043,,4982,5602,,11337,11334,4179,3582,4541,6
206041126,Southbank,,,,,,,,,,,,,,,,,,,,,,,,,6
206041127,West Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,6
206051128,Albert Park,48,65,89,6063,4603,4662,1397,1376,1082,2851,2568,2210,3868,3585,3755,6339,5266,5538,15175,10223,10525,3677,3456,3777,6
206051129,Elwood,29,80,94,4409,4371,4304,2229,1599,1704,2785,2554,2377,3418,3477,3412,4749,4800,4586,8502,9426,9304,3608,3493,3498,6
206051130,Port Melbourne,40,66,86,5547,4843,4787,1643,1262,1464,3279,2873,2878,4552,3840,3971,6990,5581,5269,11274,10241,10046,4370,3675,4057,6
206051131,Port Melbourne Industrial,,,,,,,,,,,,,,,,,,,,,,,,,6
206051132,South Melbourne,17,35,50,4174,4143,4499,1721,1478,1215,2503,2483,2788,3294,3738,4240,5406,5174,5696,7222,7843,8558,3409,3886,4292,6
206051133,St Kilda,41,64,80,5568,5120,5351,1632,1157,1513,2439,2323,2621,3913,3606,3759,5415,5487,5509,13456,12722,13356,4066,3647,3712,6
